# Comments start with a hashtag because of how CSV is read,"<a href=""SITE-LINK"" target=""_blank"">LIST-NAME</a>","<a href=""tel:+1555-555-5555"">1.555.555.5555</a>",,,
Resource,Website,Hotline Phone/Text,Resource Description,Keywords,Region/Language
Trans Safe Space,"<a href=""https://transsafespace.network/"" target=""_blank"">Trans Safe Space</a>",,"An info hub, safe haven, and support system for transgender people and their family, friends, and allies.","LGBTQ, gender identity, ",
TransFamily Support Services ,"<a href=""https://www.transfamilysos.org"" target=""_blank"">TransFamily Support Services</a>",,TransFamily Support Services guides transgender/non-binary youth and their families through the gender transitioning process to help make it the most positive experience possible.,"LGBTQ, gender identity",
Transgender Health Injection Guide,"<a href=""https://fenwayhealth.org/wp-content/uploads/TH-109_Update-Hormone-Injection-Guide_6_19_2020_FINAL_pages.pdf"" target=""_blank"">Transgender Health Injection Guide</a>",,A PDF booklet containing text and image-based descriptions of how to use injectable medication.,"LGBTQ, gender identity, health",
Transgender Law Center,"<a href=""https://transgenderlawcenter.org/"" target=""_blank"">Transgender Law Center</a>",,Publications and resources offering information on the more common legal challenges and questions transgender people encounter.,"LGBTQ, gender identity, legal",
Transgender Legal - Name Change Project,"<a href=""https://transgenderlegal.org/work_show.php?id=7"" target=""_blank"">Transgender Legal - Name Change Project</a>",,"TLDEF's Name Change Project provides pro bono legal name change services to low-income transgender, gender non-conforming, and non-binary people through partnerships with some of the nation's most prestigious law firms and corporate law departments.","LGBTQ, gender identity, legal",
Trevor - Guide to Being an Ally for T/Enby Youth,"<a href=""https://www.thetrevorproject.org/resources/trevor-support-center/a-guide-to-being-an-ally-to-transgender-and-nonbinary-youth/"" target=""_blank"">Trevor - Guide to Being an Ally for T/Enby Youth</a>",,A guide for supporting trans and non-binary youth.,"LGBTQ, education",
Trevor LGBTQ + Religion (Faith),"<a href=""https://www.thetrevorproject.org/trvr_support_center/lgbtq-religion/"" target=""_blank"">Trevor LGBTQ + Religion (Faith)</a>",,"Some commonly asked questions from queer believers about faith and LGBTQ+ identities, plus a few resource links.","LGBTQ, religion",
Trevor Project,"<a href=""https://www.thetrevorproject.org/"" target=""_blank"">Trevor Project</a>","<a href=""tel:+1866-488-7386"">1.866.488.7386</a> or text START to <a href=""sms:678678&body=START"">678-678</a>","A 24/7 non-judgmental hotline with LGBTQ-sensitive trained counselors you can contact through a call, text, or chat during a mental health crisis and/or suicidal thoughts. Available in the United States.","LGBTQ, hotline",
TrevorSpace,"<a href=""https://www.trevorspace.org"" target=""_blank"">TrevorSpace</a>",,"Connects LGBTQIA+ youth to peer support and community through online forums, hosted by the Trevor Project. Must be 13-24, must provide email address to join.","LGBTQ, hotline",
True Colors LGBT Youth Homelessness 101 Course,"<a href=""https://learn.truecolorsunited.org/courses/lgbt-youth-homelessness-101/"" target=""_blank"">True Colors LGBTQ Youth Homelessness 101 Course</a>",,"A free, online course that covers oppression, facts about LGBTQ youth homelessness, gender pronouns, unique experiences of transgender youth, and creating inclusive environments.","LGBTQ, education",
True Colors Sexual Minority Youth and Family Services Resources,"<a href=""https://ourtruecolors.org/resources/"" target=""_blank"">True Colors Sexual Minority Youth and Family Services Resources</a>",,Resouces on LGBT topics.,LGBTQ,
True U Clinic (T),"<a href=""https://trueuclinic.com/"" target=""_blank"">True U Clinic (Trans)</a>",,"Online transgender and non-binary informed consent clinic serving patients in AZ, CO, IA, ID, ME, MD, MT, NM, NV, OR, and WA. Costs are clearly listed on their website.","LGBTQ, health",
Two-Spirit /LGBTQ+ Native Americans in Higher Education Resource Guide,"<a href=""http://architect.lgbtcampus.org/research/two-spirit-lgbtq-native-americans-in-higher-e/download"" target=""_blank"">Two-Spirit /LGBTQ+ Native Americans in Higher Education Resource Guide</a>",,Downloadable PDF of resources of Native Americans and LGBT people.,"LGBTQ, indigenous",
Two-Spirit Resource Directory,"<a href=""https://twospiritjournal.com/wp-content/uploads/2016/07/Two-Spirit-Resource-Directory-May-2016.pdf"">Two-Spirit Resource Directory</a>",,"Downloadable PDF that includes a directory prepared by Harlan Pruden (Nehiyawe/First Nations Cree), Managing Editor of the Two-Spirit Journal.","LGBTQ, gender identity, Indigenous",
Two-Spirited Podcasts,"<a href=""https://lgbtqhealth.ca/projects/two-spiritedpodcasts.php"">Two-Spirited Podcasts</a>",,Podcasts recorded by Margaret Robinson during a post-doctoral fellowship in Aboriginal Methodologies.,"LGBTQ, gender identity, Indigenous",
TXT 4 HELP,"<a href=""https://www.nationalsafeplace.org/txt-4-help"" target=""_blank"">TXT 4 HELP</a>","Text SAFE to <a href=""sms:44357&body=SAFE"">4HELP (44357)</a>","A 24/7 program by the national Safe Place initiative. Text the word “safe” and your current location (address, city, state) to 4HELP (44357). They will reply with the location of the closest Safe Place site and the phone number for a local youth agency. You can reply with “2chat” to text interactively with a trained counselor.","under 18, hotline",
UCSF Center of Excellence for Transgender Health,"<a href=""https://prevention.ucsf.edu/transhealth"" target=""_blank"">UCSF Center of Excellence for Transgender Health</a>",,"Educational resources, best practices, and guidelines for transgender medicine.","LGBTQ, gender identity, health",
Ulifeline,"<a href=""http://www.ulifeline.org/"" target=""_blank"">Ulifeline</a>",,"Information about different mental health conditions, advice for helping a friend, and local resources. Also offers a self-evaluator tool for mental illness screenings.",mental health,
Undergrad in the Lab,"<a href=""https://undergradinthelab.com/"" target=""_blank"">Undergrad in the Lab</a>",,A blog with resources for joining and thriving in a research group.,"STEMM, education",
United We Dream,"<a href=""https://unitedwedream.org/"" target=""_blank"">United We Dream</a>",,Organization with tools and resource guides for people covered by DACA (DREAMers).,general,
UpLift (app),"<a href=""https://www.uplift.app/"" target=""_blank"">UpLift (app)</a>",,"This iOS app helps you learn skills related to mood and anxiety, from journals, to navigating triggers and more.",mental health,
Verse A Day (app),"<a href=""http://www.verse-a-day.com/apps/"" target=""_blank"">Verse A Day (app)</a>",,An app available on the IOS and Google Play store that delivers a new Bible verse each day with commentary.,religion,
Veterans Crisis Line,"<a href=""https://www.veteranscrisisline.net/"" target=""_blank"">Veterans Crisis Line</a>","<a href=""tel:+1800-273-8255"">1.800.273.8255</a>",A crisis hotline for veterans and those who are concerned about one. Text is also available.,"mental health, hotline, veteran",
Washington Internships for Students of Engineering (WISE),"<a href=""https://wise-intern.org/"" target=""_blank""> Washington Internships for Students of Engineering (WISE)</a>",,"Students discover how government officials make decisions on complex technological issues, while also learning how engineers and scientists can contribute to the legislative process and regulatory decision-making","STEMM, education",
We R Native,"<a href=""https://www.wernative.org/"" target=""_blank"">We R Native</a>",,Resources by Native youth for Native youth on a wide range of topics.,"general, health, mental health, Indigenous",
Woebot,"<a href=""https://woebot.io"" target=""_blank"">Woebot</a>",,Free app (iOS/Android) for conversations and cognitive behavioral therapy (CBT).,mental health,
Workplaces Respond,"<a href=""https://www.workplacesrespond.org/"" target=""_blank"">Workplaces Respond</a>",,"Resources for survivors, employers, coworkers, and advocates on workplace domestic violence, sexual assault, sexual harassment, and stalking.",general,
World Health Organization,"<a href=""https://www.who.int/"" target=""_blank"">World Health Organization</a>",,Addresses health topics to inform individuals.,COVID-19,
World Professional Association for Transgender Health,"<a href=""https://www.wpath.org/"" target=""_blank"">World Professional Association for Transgender Health</a>",,"WPATH has resources, publications, and news about transgender health.","LGBTQ, gender identity, health",
Yoga for Depression,"<a href=""https://www.yogajournal.com/poses/yoga-by-benefit/depression"" target=""_blank"">Yoga for Depression</a>",,A website with a list of yoga poses to boost feel-good endorphins for depression.,"mental health, coping",
# test,"<a href=""SITE-LINK"" target=""_blank"">LIST-NAME</a>","<a href=""tel:+1555-555-5555"">1.555.555.5555</a>",,,
