# Comments start with a hashtag because of how CSV is read,"<a href=""tel:+1555-555-5555"">1.555.555.5555</a>",,,,thriv.life/LINK,"<a href=""SITE-LINK"" target=""_blank"">LIST-NAME</a>"
Resource,Hotline Phone/Text,Resource Description,Keywords,Region/Language,ShortLink,Website
#Morris Home,,"The only residential recovery program in the country to offer comprehensive services specifically for the transgender community, provides a safe, recovery-oriented environment in which people are treated with respect and dignity.","LGBTQ, gender identity, health",,,https://www.rhd.org/morrishome/
Mourning Hope Grief Center,,"Organization with free, Zoom-based support groups and programs and a number of resources for managing grief.","grief, support",,thriv.life/MournHope,https://www.mourninghope.org/
mRelief,,A simplified process for determining food stamp qualification and registration.,"COVID-19, food",,thriv.life/mRelief,https://www.mrelief.com/
MSDCI Guide to Accessing Disability Accommodations,,"A PDF guide for navigating the accommodations process in undergraduate medical education, with additional information about the application process and testing accommodations.","disability, neurodivergence, STEMM, education",,thriv.life/MSDCIAcc,https://drive.google.com/file/d/1kne11f47ItHXzQmWBFDA7qfut5hzd-TZ/view
MTF Surgery Guide,,Directory of surgeons and describes differences between surgical procedures for trans feminine folks.,"LGBTQ, health, providers",,thriv.life/MTFSurgery,https://www.mtfsurgery.net/
Multiplied By One Online Support Groups,,"Online support groups for C-PTSD, all dissociative disorders, and loved ones of Dissociative Identity Disorder systems. Groups meet via Zoom, and safety information is detailed on their website. A small fee is requested for administration and Zoom licensing.","mental health, support",,thriv.life/MB1OSG,https://multipliedbyone.org/online-support-groups/
Mutual Aid Hub,,Map of local mutual aid networks and food resources.,"general, aid, food",,thriv.life/MutAidHub,https://www.mutualaidhub.org/
My Kid is Gay,,"Videos, resources, and advice for helping parents understand their LGBTQIA children. ","LGBTQ, gender identity, parent",,thriv.life/MKIG,https://www.mykidisgay.com/
myIDP,,A free web-based career planning tool tailored for PhD students and post-docs to help users develop and individual development plan.,"STEMM, education, career",,thriv.life/MyIDP,https://myidp.sciencecareers.org/
myPlan App,,"A tool to help with safety decisions if you, or someone you care about, is experiencing abuse in their intimate relationship. *Includes LGBTQIA+ relationships.","LGBTQ, general, app",,thriv.life/MyPlan,https://www.myplanapp.org/#home
My Noise,,A website where users can change set their own optimal background noise (or use preset values) to help them focus and tune out distractions.,"education, coping",,thriv.life/MyNoise,https://mynoise.net/
My Plate Recipes,,Online recipes with the option to sort for SNAP and budget-friendly meals and include nutrition information.,"general, food",,thriv.life/MyPlateRec,https://www.myplate.gov/myplate-kitchen/recipes
My Possible Self,,"An app (Android and iOS) based on cognitive behavioral therapy with access toolkits, tags, mood trackers, visual and audio exercises, insights, journals, and motivational messages.","app, coping, mental health",,,https://www.mypossibleself.com/
# ATTN: DEAD LINK! NAACP Know Your Rights,,What to do if you're pulled over by the police.,general,,thriv.life/NAACP-Rights,https://www.naacp.org/wp-content/uploads/2016/04/Racial_Profiling_Know_Your_Rights_Supplement_6-12-12.pdf
NAACP Know Your Rights,,What to do if you're pulled over by the police. Also includes information on court rights and voting,general,,thriv.life/NAACP-Rights,https://naacp.org/find-resources/know-your-rights
NACME Scholarships,,Scholarships for underrepresented minority students in engineering and computer science.,"STEMM, education, funding",,thriv.life/NACME-Schol,https://www.nacme.org/nacme-scholarships
National Alliance for Eating Disorders,,"A non-profit dedicated to education, support groups, and advocacy. They have an LGBTQ+ pro-recovery support group that meets weekly.","health, mental health, disordered eating",,thriv.life/NAED,https://www.allianceforeatingdisorders.com/
National Alliance on Mental Illness (NAMI),"<a href=""tel:+1800-950-6264"">1.800.950.6264</a>","Information on mental illness symptoms, seeking help, education, and mental health advocacy. Helpline Hours: M-F 10am-10pm ET","mental health, hotline",,thriv.life/NAMI,https://www.nami.org/home
National Asian American Pacific Islander Mental Health Association (NAAPIMHA),,"An organization that works to promote health and wellness among Asian Americans, Native Hawaiians and Pacific Islanders. Their site has a list of service providers in all 50 states, as well as resources and webinar information.","AAPI, mental health, education, providers",,thriv.life/NAAPIMHA,https://www.naapimha.org/aanhpi-service-providers
National Association of Anorexia Nervosa and Associated Disorders (ANAD),,An organization offering free peer-support groups for those struggling with body image and/or eating disorders.,"health, mental health, support, disordered eating",,thriv.life/ANAD,https://anad.org/get-help/about-our-support-groups/
National Association to Advance Fat Acceptance (NAAFA),,"An organization that works to make the world a better place for fat people through education, advocacy, and support.","health, education",,,https://naafa.org/
National Bail Fund,,Directories for protest support bail funds and community-led bail and bond funds for pretrial and immigration bail.,"general, aid",,thriv.life/NatBailFund,https://www.communityjusticeexchange.org/nbfn-directory
National Domestic Violence/Abuse Hotline,"<a href=""tel:+1800-799-7233"">1.800.799.7233</a> or TTY <a href=""tel:+1800-787-3224"">1.800.787.3224</a>","The National Domestic Violence Hotline is a 24-hour confidential service for survivors, victims and those affected by domestic violence, intimate partner violence and relationship abuse.","hotline, abuse",,thriv.life/NatDV,https://www.thehotline.org
#National Eating Disorders Association (NEDA),"<a href=""tel:+1800-931-2237"">1.800.931.2237</a>","An organization that provides resources to support people affected by eating disorders as well as hosting a helpline.  Call hours M-R 11am-9pm ET, F 11am-5pm ET. Webchat hours M-R 9am-9pm ET, F 9am-5pm ET. Text hours M-R 3pm-6pm ET.","mental health, health, hotline, general, disordered eating",,thriv.life/NEDA,https://www.nationaleatingdisorders.org/
National Grad Crisis Line,"<a href=""tel:+1877-472-3457"">1.877.GRAD.HLP (472-3457)</a>",A 24/7 crisis hotline for graduate students.,"hotline, education",,thriv.life/NatGradCrisis,https://gradresources.org/crisis/
National Human Trafficking Hotline,"<a href=""tel:1-888-373-7888"">1.888.373.7888</a> or text <a href=""sms:233733&body=LGBTQ"">233733</a>",A 24/7 hotline that connects victims and survivors of sex and labor trafficking with services and supports to get help and stay safe. They also offer a text service and can support over 200 languages through interpretation services.,"hotline, abuse",Español,thriv.life/NHTH,https://humantraffickinghotline.org/
National Immigration Law Center,,"An organization dedicated to defending, advocating for, and advancing the rights of low-income immigrants and their family members.",legal,,thriv.life/NILC,https://www.nilc.org/
National Institute of Mental Health,,"A government-run organization that provides statistics, resources, and news about mental health.","mental health, education",,thriv.life/NIMH,https://www.nimh.nih.gov/health/index.shtml
National Lawyer's Guild Referral Directory,,A directory of lawyers and law firms with the ability to filter by region or expertise.,general,,thriv.life/NLGDir,https://www.nlg.org/referral-directory/
National LGBTQ Task Force,,"An organization that advances for the full freedom, justice, and equality for LGBTQ people through action",LGBTQ,,thriv.life/NatLGBTQ,https://www.thetaskforce.org/
National Maternal Mental Health Hotline,"<a href=""tel:1-833-852-6262"">1.833.852.6262</a>","A hotline (call or text) for pregnant or new mothers for mental health support, resources or potential health referrals ","hotline, mental health",US,,https://mchb.hrsa.gov/programs-impact/national-maternal-mental-health-hotline
National Network for Immigrant and Refugee Rights,,"An organization working to defend and expand the rights of immigrants and refugees. They maintain resources for knowing your rights, legal referrals, and community resources.","general, education, legal",,thriv.life/NNIRR,https://nnirr.org/
National Network of Abortion Funds,,A database of organizations that can support financial and logistical abortion needs.,"general, health, aid",,thriv.life/NNAF,https://abortionfunds.org/need-abortion/
National Parent Helpline,"<a href=""tel:+1855-427-2736"">1.855.4A.PARENT (27-2736)</a>",A helpline to assist in becoming an empowered and stronger parent. Hours: M-F 1pm ET - 10pm ET.,hotline,,thriv.life/NatParentHelp,https://www.nationalparenthelpline.org/
National Queer Asian Pacific Islander Alliance (NQAPIA),,"An organization that works to advance intersectional justice and intergenerational family re(building). Their website has a resource guide on coming out (English, Simplified Chinese, Hindi, Korean, Japanese, and Vietnamese), and factsheets and videos about family acceptance (English, Chinese [Simplified], Chinese [Traditional], Japanese, Korean, Tagalog, Vietnamese, Bengali, Hindi, and Arabic).","AAPI, LGBTQ",,thrive.life/NQAPIA,https://www.nqapia.org/resources
National Queer and Trans Therapists of Color Network,,NQTTCN maintains an online directory of queer and trans therapists of color that provide mental health services for other queer and trans people of color.,"LGBTQ, health, providers",,thriv.life/NQTTCN,https://www.nqttcn.com/
National Resource Center on LGBT Aging,,Resources on aging and relevant topics for LGBT people. Have an additional helpline for older queer adults (SAGE): https://www.sageusa.org/hearme/,"LGBTQ, mental health, health",Español,thriv.life/NatLGBTAging,https://www.lgbtagingcenter.org/resources/resources.cfm?s=31
National Resource Center on Psychiatric Advance Directives (NRC PAD),,"A database of forms to fill out for an psychiatric advanced directive (PAD) for all US states. A PAD allows one to pre-write out their wishes for treatment they would and would not want to receive, as well as name a health care proxy, in the case of a psychiatric hospitalization.","mental health, support, psychosis, legal",,,https://nrc-pad.org/states/
National Runaway Switchboard,"<a href=""tel:+1800.786.2929"">1.800.RUNAWAY (786.2929)</a> or text <a href=""sms:66008"">66008</a>","A 24/7 non-judgmental hotline for runaway, homeless and at-risk youth and their families at their most vulnerable moments.","under 18, hotline",,thriv.life/NatRunaway,https://www.1800runaway.org/
National Sexual Assault Hotline (RAINN),"<a href=""tel:+1800-656-4673"">1.800.656.HOPE (4673)</a>",The National Sexual Assault Hotline is a 24-hour confidential service for survivors of sexual assault.,hotline,,thriv.life/RAINN,https://www.rainn.org
National Sexual Violence Resource Center,,"A nonprofit organization the provides leadership in preventing and responding to sexual violence through collaborating, promoting research, and sharing and creating resources. (Available in Spanish)","general, education, abuse",Español,thriv.life/NSVRC,https://www.nsvrc.org/
Native American Rights Fund (NARF),,"A legal organization dedicated to defending the rights of Native American tribes, organizations, and people.","legal, Indigenous",,thriv.life/NARF,https://www.narf.org/
Natural Reader,,"Text-to-speech available on the web or as software with more tools than native PDF readers. Paid versions with ""natural"" voices and ability to save to MP3 are available for a one-time fee.","disability, education",,thriv.life/NatRead,https://www.naturalreaders.com/index.html
Necromancers Neuro-Verse,,"A Black and queer-led community organization and radical magazine for and by neurodivergents, with a Discord server hosting variety of international peer support groups. There are groups for trans/queer/intersex neurodivergents; neurodivergent youth; people who identify with Cluster B umbrella; neurodivergent parents and caregivers; psychiatric trauma survivors; and people with schizophrenia.","neurodivergence, support, non-carceral",UK,thriv.life/Neuroverse,https://www.neuromancersmagazine.com/discord
NeedyMeds,"<a href=""tel:+1800-503-6897"">1.800.503.6897</a>",Information about applying for prescription assistance programs and additional information about affording medications.,health,,thriv.life/NeedyMeds,https://www.needymeds.org/pap
Neurodivergent Therapists,,"Searchable directory of neurodivergent therapists specializing in working with neurodivergent people, domestically in the USA & internationally.","neurodivergence, support, providers",,thriv.life/NDTher,https://ndtherapists.com/
Neurodiversity Hub,,An organization with resources and programs for supporting neurodiverse students and helping them become workforce-ready by connecting them with employers.,"STEMM, career, education, neurodivergence",Australia,thriv.life/NeuroHub,https://www.neurodiversityhub.org/
Neurospicy Network Resources Doc,,"A Google Document containing lists of multimedia ( videos, PDFS, websites) resources related to various topics such as disability justice, autism, COVID, mental health, and equity.","education, neurodivergence, general, mental health",,,https://docs.google.com/document/d/1M3fUIDdwpxNtohNdzghJ1ExMQvBX0SwS_UbKTsDh5lA/edit?tab=t.0#heading=h.1arj8qh01itv
Neutrois,,Information about non-binary neutrois gender identities.,"LGBTQ, gender identity",,thriv.life/Neutrois,http://neutrois.com/
Never Use Alone,"<a href=""tel:+1800-484-3731"">1.800.484.3731</a>",A non-judgmental hotline for people taking drugs to call as a safeguard against accidental overdose.,"hotline, mental health, substance use",,thriv.life/NeverUseAlone,http://neverusealone.com/
NEXT Social Support Group,,"A resource guide of moderation-based support groups, abstinence-based support groups, online support groups / spaces, groups for drug user rights, and groups for friends and family of people who use drugs.","mental health, substance use, support",,thriv.life/NextSSG,https://nextdistro.org/socialsupport
NIH Postbaccalaureate Research Education Program (PREP) Program,,A research-focused program for underrepresented individuals in the biomedical sciences who are interested in pursuing a research-focused doctoral degrees. The program actively seeks to create opportunities for people with disabilities.,"STEMM, education, disability, career",,thriv.life/NIH-PREP,https://www.nigms.nih.gov/training/PREP/Pages/default.aspx
NNIRR Immigration Hotlines,,"A list of national, state, and regional hotlines pertaining to US immigration and migration.","legal, hotline",,thriv.life/NNIRR-Hotlines,https://nnirr.wpengine.com/education-resources/community-resources-legal-assistance-recursos-comunitarios-asistencia-legal/immigration-hotlines-lineas-directas-de-inmigracion/
NOAA EPP/MSI Undergraduate Scholarship Program,,he NOAA EPP/MSI Undergraduate Scholarship provides funds for two years of undergraduate study to rising junior undergraduate students majoring in STEM fields that directly support NOAA's mission. Participants conduct research at a NOAA facility during two paid summer internships. Only U.S. citizens and U.S. nationals attending Minority Serving Institutions as defined by the US Department of Education are eligible to apply.,"STEMM, education, funding",,thriv.life/EPP,https://www.noaa.gov/office-education/epp-msi/undergraduate-scholarship
NOGLSTP Out to Innovate,,STEM scholarships for undergraduate & graduate students who are LGBTQ+ or active allies.,"STEMM, funding",,thriv.life/NOGLSTP,https://www.outtoinnovate.org/scholarships
"No More GateKeeping (NMGK)
Provider Directory",,"Lists the information of medical and mental health providers who provide gender affirming care/identification in only one session. Can be filtered by price, insurance, state, and languages spoken. ","gender identity, providers",US,,https://dosomethingidentities.org/providers/
Northwest Portland Area Indian Health Board (NPAIHB) Text Line,"Text LGBTQ2S to <a href=""sms:94449 &body=LGBTQ2S"">94449</a> to receive resources via text message.",Text to learn more about Two Spirit and LGBTQ+ Health.,"LGBTQ, hotline",,thriv.life/NPAIHB,https://www.pathsremembered.org/
Now Matters Now (DBT),,Skills and support for coping with suicidal thoughts based on Dialectical Behavior Therapy.,mental health,,thriv.life/NowMattersNow,https://www.nowmattersnow.org/about
Not Alone Notes,,"Mails free hand-written notes to others with OCD and other related disorders, can be requested on the website to all 50 states and 50 other countries and can be requested for ones self or someone else written by those with lived experience","OCD, mental health, support",,,https://notalonenotes.org/
Not OK App,,"A free app to get you immediate support via text, phone call, or GPS location when you're struggling to reach out.","mental health, support, app",,thriv.life/NotOK,https://www.notokapp.com/
NSF Search for an REU,,Site that lists all active NSF-funded Research Experience for Undergraduates (REU) programs.,"STEMM, education, career",,thriv.life/NSF-REU,https://www.nsf.gov/crssprgm/reu/reu_search.jsp
OCD Squad Discord,,discord based community for those wanting community or support living with OCD,"mental health, support",,,https://discord.me/ocdsquad
One Million Experiments,,A searchable directory of mutual aid and collective care projects nationwide.,"general, aid",,thriv.life/1ME,https://millionexperiments.com/search
One Sky Center,,"One Sky Center is a National Resource Center for American Indian and Alaska Native Health, Education, and Research. It is dedicated to quality health care across Indian Country. Also provides a broad resource with nothing on 2 Spirit or other LGBTQTIA+ identities","Indigenous, mental health, education",,,https://www.oneskycenter.org/
Online Intergroup of Alcoholics Anonymous,,"Features a directory of online AA meetings, worldwide, as well as multilingual resources.","general, mental health, substance use, support",interational,thriv.life/OIAA,https://aa-intergroup.org/
Online OCR,,"A free, online image to text converter. Takes pdf or image files and converts them to Doc, Excel, or plain text formats.","disability,neurodivergence, education",,thriv.life/OCR,https://www.onlineocr.net/
Online Resources for Science Laboratories (POD),,A Google Doc of different open-access materials for lab courses.,"STEMM, education",,thriv.life/POD-Labs,https://docs.google.com/spreadsheets/d/18iVSIeOqKjj58xcR8dYJS5rYvzZ4X1UGLWhl3brRzCM/edit#gid=0
Open Counseling,,"Online directory for finding local, affordable counseling.","mental health, providers",,thriv.life/OpenCounseling,https://www.opencounseling.com/
Open Library,,Online Library with free book downloads.,general,,thriv.life/OpenLibrary,https://openlibrary.org/
Open Path Psychotherapy Collective,,"In-office and affordable psychotherapy sessions, with pricing clearly marked. There is in a one-time registration fee. It is also a therapy matching site",mental health,,thriv.life/OpenPath,https://openpathcollective.org/
oSTEM Affinity Groups,,A directory of affinity groups (community support groups) where people can meet and discuss experiences with others that share a similar identity.,"LGBTQ, STEMM",,thriv.life/oSTEM-Affinity,https://www.ostem.org/page/affinity-groups
#oSTEM Community Relief Emergency Fund,,This is the application for our oSTEM Community Relief Emergency Fund. This fund is to help our community with any urgent financial needs due to housing insecurity and limited resources during this public health crisis.,"LGBTQ, general, food, housing",,thriv.life/C19-oSTEM-Relief,https://forms.gle/XJhBDbDAkB1Snc2B7
oSTEM Crisis Resources (Quick Link),,"A list of LGBTQIA+ support resources, including crisis hotlines and other services.","LGBTQ, general",,thriv.life/oSTEM-Crisis,https://ostem.org/305556/Page/Show?ClassCode=Page&Slug=crisis-hotlines
oSTEM Global Discord,,A professional Discord server for oSTEM's community to have discussions and be social.,"LGBTQ, general",,thriv.life/oSTEM-Discord,https://discord.com/invite/rC4hV6jbWw
oSTEM Pronouns and Why They Matter,,This guide is designed to be shared with those who may not be familiar with pronouns and the different pronouns that people might use.,"LGBTQ, gender identity, education",,thriv.life/oSTEM-Pronouns,https://ostem.blob.core.windows.net/webfiles/Resources/ostem_pronounguide_legal.pdf
Otter AI,,"A speech to text transcription service. There are free and paid plans, and prices are clearly marked.","disability, support, app",,thriv.life/Otter,https://otter.ai/
Otter AI Alternatives,,A list of live and auto-captioning services that are alternatives to Otter AI.,"disability, support",,thriv.life/OtterAlt,https://sourceforge.net/software/product/Otter.ai/alternatives
Our Bible,,A Bible app that celebrates diversity and differences in faith capacities. The app also includes podcasts and chatrooms.,"LGBTQ, religion, app",,thriv.life/OurBible,https://www.ourbibleapp.com/
Our Children,,"A Q&A-style book for families of lesbian, gay, bisexual, transgender, gender-expansive, and queer youth and adults.","LGBTQ, education",,thriv.life/OurChildren,https://pflag.org/wp-content/uploads/2023/06/Our-Children-2023.pdf
#Our Children - OLD,,"A Q&A-style book for families of lesbian, gay, bisexual, transgender, gender-expansive, and queer youth and adults.","LGBTQ, education",,thriv.life/OurChildren,https://pflag.org/sites/default/files/Our%20Children_2021.pdf
Our Trans Loved Ones,,"A Q&A-style book about transgender and gender expansive people for parents, families, and friends.","LGBTQ, education, parent",,,https://pflag.org/ourtranslovedones
Our Wave,,"An online community for survivors of sexual harm to share their stories and get support from each other. Also has an ""expert Q&A"" section.","support, general",,,https://www.ourwave.org/
OutCare Health,,"A list of LGBTQ+ healthcare resources in the United States. Includes resources for primary care, mental health services, youth groups, shelters, support groups, and STI testing.","LGBTQ, health, mental health",,thriv.life/OutCare,https://www.outcarehealth.org/resources/
Out in Tech (Slack),,A messaging app where members of the LGBTQ community in STEM can join and connect with each other.,"LGBTQ, STEMM",,thriv.life/OutInTech-Slack,https://outintech.slack.com/join/shared_invite/zt-hrwq4l8n-R8stIc7QsZqeY4EE~k25Vw#/
Out of The Storm,,"website full of resources and information for those with complex PTSD, and includes a forum","mental health, education",,,https://www.outofthestorm.website/
Pain Community,,"An organization focused around community, education, and advocacy for people living with chronic pain. Offers chat rooms and forums.","disability, education, support",,thriv.life/PainComm,https://paincommunity.org/
PAN Foundation,,"Helps underinsured people with life-threatening, chronic, and rare diseases get the medications and treatments they need by assisting with their out-of-pocket costs and advocating for improved access and affordability.","disability, funding, health",,thriv.life/PAN,https://www.panfoundation.org/
Parent to Parent USA,,"A US network of Parent-to-Parent programs offering hands-on support, training and technical assistance, and high quality tools and resources.","parent, support",,thriv.life/P2PUSA,https://www.p2pusa.org/
Partnership Education Program (PEP),,10-week program designed primarily for college juniors and seniors who want to spend a summer gaining practical experience in marine and environmental science.,"STEMM, education",,thriv.life/PEP,https://www.woodsholediversity.org/pep/
Pathways to Science,,"Directory of programs, internships, and fellowships for those in STEM at any career stage.","STEMM, education, funding",,thriv.life/Path2Science,https://www.pathwaystoscience.org/index.aspx
Patient Advocate Foundation,,An organization providing case management services and financial assistance to low-income and uninsured patients and caregivers.,"disability, funding, health",,thriv.life/PAF,https://www.patientadvocate.org/
Patients Like Me,,"A data-driven online community for sharing stories and information about health conditions, symptoms, and treatments.","disability, health",,thriv.life/PatientsLikeMe,https://www.patientslikeme.com/
PEACE Wellness Collective,,"The PEACE Wellness Collective was created by 5 Black women whose goal is to provide mental health and wellness resources to the Black community. They offer therapy for individuals, family, and couples.","Black, mental health",,thriv.life/PEACE-Wellness,https://www.pwcla.com/
Peer Collective,,Online sliding scale ($22-$100 depending on session length) peer counseling.,"mental health, support",,thriv.life/PeerCol,https://www.peercollective.com/
Peer Support Calendar - Sarah Broas,,A website containing a calendar of free and low-cost various virtual and hybrid peer support groups; this can be downloaded and imported as well to your own personal calendar. ,mental health,,,https://sarahbroas.wordpress.com/peer-support-group-calendar/
Peer Support Space,,"Virtual support groups for a variety of groups, including LGBTQ+ folks and autistic people. Also offers in-person support in Central Florida.","LGBTQ, mental health, support, non-carceral",,thriv.life/PSS,https://peersupportspace.org/community-gatherings-1
PEP 101,,English and Spanish CDC fact sheet on post-exposure prophylaxis (PEP) [start within 3 days after HIV exposure].,"LGBTQ, health",Español,thriv.life/PEP-101,https://www.cdc.gov/hiv/pdf/library/consumer-info-sheets/cdc-hiv-consumer-info-sheet-pep-101.pdf
PFLAG,,"Provides LGBTQIA+ community and their loved ones with information, tools, resources, advocacy, education, and support.","LGBTQ, general",,thriv.life/PFLAG,https://pflag.org
PhD Balance,,An online community that focuses on empowering graduate students.,"mental health, education",,thriv.life/PhD-Balance,https://www.phdbalance.com/
PhD Parent,,"An online community for academic parents and carers for moral support, encouragement, and advice.","STEMM, parent",,thriv.life/PhD-Parent,https://the-phd-parent.mn.co/
PhD Students,,"Articles, blog posts, and resources for preparing for, applying to, and succeeding in graduate school. Also offers thesis and dissertation-phase advice and tips for after graduate school.","STEMM, education",,thriv.life/PhD-Students,https://www.phdstudent.com/
Physician Support Line,"<a href=""tel:+1888-409-0141"">1.888.409.0141</a>","A support line staffed by psychiatrists to help US medical students and physicians navigate the intersections of their personal and professional lives. Available 7 days a week, 8:00AM - 1:00AM ET","hotline, STEMM",,thriv.life/PhysSupportLine,https://www.physiciansupportline.com/
Pink Unicorn Survival Guide,,"From the Trans Resistance Network: Containing 26 pages of important updates, organizing tools, security information, emigration/refugee information, DIY, etc. They will be updating often as the situation is rapidly changing. The most current version is linked on the website as a .pdf file. The .png has been removed temporarily to fix a technical issue.","LGBTQ, gender identity, health, education, legal",,,https://transresistancenetwork.wordpress.com/pinkunicorn/
Planned Parenthood,,Reproductive healthcare. Many offer HRT for trans people.,general,,thriv.life/PP,https://www.plannedparenthood.org/
Please PrEP Me,,"A list of programs to help pay for HIV pre-exposure prophylaxis (PrEP) and post-exposure prophylaxis (PEP). PrEP is covered by most health insurances, but for those who are uninsured or can't afford the out of pocket costs, this site maintains a list of patient assistant programs.","health, HIV",,,https://pleaseprepme.org/covering-costs/
Plot Me Genderfluid,,A person's quantification of their experience with genderfluidity.,"LGBTQ, gender identity",,thriv.life/PMGenderfluid,https://www.gaytascience.com/plot-me-genderfluid/
Plurality Resource Doc ,,"A Google Doc containing links to multiple resources, videos articles and information about Plurality, people with DID, for both people wanting to information and Plural folks themselves","mental health, general, education, neurodivergent",,,https://tinyurl.com/plural-links-list
Plural Research Consortium,,"The Plural Research Consortium is intended to be a space for plurals, multiples, and people with DID/OSDD involved in academic research to work towards connecting, collaborating, & continuing research by and for plurals. They also have monthly drop in meetings and a closed discord server.","general, education, neurodivergence",,,
Plurality Resource,,Free or sliding scale courses on plural identities.,"mental health, education",,thriv.life/PluralRes,https://pluralityresource.org
Point Foundation,,"National LGBTQ+ scholarship fund for ""out"" undergraduate and graduate students","STEMM, funding",,thriv.life/PointFound,https://pointfoundation.org/point-apply/application-faqs/
Point of Pride,,"Offers a lot of transition-related funding/services, such as a chest binder donation program and trans feminine shapewear program.","LGBTQ, gender identity",,thriv.life/PoP,https://pointofpride.org/
"#Point of Pride COVID-19 has ended. 8 clicks, removed 01/07/2022",,,,,,
#Point of Pride COVID-19 Fund,,Funding for trans people to cover trans community needs.,COVID-19,,thriv.life/C19-PoP-Fund,https://pointofpride.org/covid-19-emergency-fund/
Poison Control,"<a href=""tel:+1800-222-1222"">1.800.222.1222</a>",Poison control is a 24/7 hotline with information on poison emergencies.,hotline,,thriv.life/PoisonControl,https://www.webpoisoncontrol.org/
Pomofocus,,An online Pomodoro timer for help getting focused on doing tasks with scheduled breaks (based on the Pomodoro technique).,general,,thriv.life/Pomofocus,https://pomofocus.io/
Poorcraft,,"A ""how to live on my own"" fundamentals book, written in the style of comic books, available in PDF for $5.",general,,,https://ironcircus.com/product/poorcraft/
Porn Addicts Anonymous,,12 step program for overcoming porn addition -- steps involve G-d.,sexual health,,thriv.life/PAdAnon,https://www.pornaddictsanonymous.org/
Postpatrum Depression Information & Resources for LGBTI+ people and Their Networks,,PDF that provides information and resources about postpartum depression in LGBTi+ people and what barriers LGBTI+ people may face receiving support,"LGBTQ, mental health, parent, providers",,,https://owh-wh-d9-prod.s3.us-east-1.amazonaws.com/s3fs-public/_images/2023/PPD/pdfs-download/23348-67_OWH24-Fact-Sheet-LGBTQ-05_ADA_submitted.pdf?utm_medium=email&utm_source=govdelivery
Postpartum Progress,,A site that provides resources and support groups for those dealing with postpartum depression and similar mental illnesses around pregnancy and early motherhood.,"mental health, gestation, parent",,thriv.life/PPProgress,https://postpartumprogress.com/
Post-Op Recovery Checklist,,"A Point of Pride article with 12 items/tips for recovery after a trans-related surgery, that also addresses post-op emotions. ","health, LGBTQ, gender identity",,,https://www.pointofpride.org/blog/post-op-recovery-checklist-12-simple-ways-make-recovery-easier
Post-Trans,,Stories from female detransitioners that icludes an international resource list page as well.,detransition,,thriv.life/DT-PostTrans,https://post-trans.com/
Prescribe It Forward,,A free mentorship program that provides pre-medical students application and guidance in order to ease the notoriously rigorous process of applying to medical school.,"STEMM, education, mentoring",,thriv.life/PrescribeIF,https://www.prescribeitforward.com/
Pride Institute,,LGBTQ+ Residential and partial hospitalization programs.,"mental health, support",,thriv.life/PrideInst,https://pride-institute.com/lgbtq-recovery-programs/
PRIDE in Practice,,LGBTQ+ health care education -- clinical articles and resources.,"LGBTQ, health",,thriv.life/PRIDE-Practice,https://www.prideinpractice.org/
PRIMED2,,A sex guide for trans men into men (explicit).,"LGBTQ, gender identity, sexual health",,thriv.life/PRIMED2,https://www.rainbowhealthontario.ca/wp-content/uploads/woocommerce_uploads/2011/02/15GMS004_primedguide-redo_vFA_booklet_ENG_web.pdf
Project Heal,,"Support to navigate the systemic, healthcare, and financial barriers that millions of people in the U.S. face when trying to heal from their eating disorder.","mental health, disordered eating",,,https://www.theprojectheal.org/
Project LETS,"Text <a href=""sms:+1.401.400.2905 &body=Hello"">401-400-2905</a>","A national grassroots organization and movement led by and for folks with lived experience of mental illness/madness, Disability, trauma, & neurodivergence. They have a number of resources on topics including crisis support, disability justice, incarceration, and homelessness. Text 401.400.2905 for urgent support with psychiatric incarceration / involuntary hospitalization, Monday-Saturday, 10:00 AM EST-4:00 PM EST.","disability, neurodivergence, mental health, support, non-carceral",,thriv.life/LETS,https://projectlets.org/
Project Rainbow Turtle,,newer mutual aid fund + network for Two-Spirit & Indigenous LGBTQIA+ folks in the United States for paying for gender affirming related costs as well as passport or name change or relocation costs as well as offering peer support or additional resources,"Indigenous, support, gender identity",,,https://projectrainbowturtle.org/
Project Return Peer Support Network (PRPSN),,"An LA-based group that offers virtual support groups accessible to anyone, with topics ranging from discussion/processing groups to activity-based groups like Yoga and Zumba to socialization groups in the community. Some groups are conducted in Spanish.","coping, mental health, support",Español,thriv.life/PRPSN,https://prpsn.org/services-peer-support-network.html?id=169
Project SHORT,,"An organization offering free mentoring for both professional health and graduate school admissions, with the goal of combatting socioeconomic and systemic inequalities in these processes.","STEMM, education, career, mentoring",,thriv.life/SHORT,https://www.project-short.com/
ProtonVPN,,"A free VPN for using the internet without surveillance. It was created for journalists and activists, and can integrate with Tor. Available on Android, iOS, Windows, Mac, and Linux.","app, general, online safety",,thriv.life/Proton,https://protonvpn.com/
Psychological Self-Help,,"A free online self-help book with topics including emotions, relationships, and changing behaviors.",mental health,,thriv.life/PSH,https://www.psychologicalselfhelp.org/
Public Neurodiversity Support Center,,"A resource hub for neurodivergent people, those questioning whether they are neurodivergent, and allies.","neurodivergence, education",,thriv.life/PNSC,https://coda.io/@mykola-bilokonsky/public-neurodiversity-support-center
